PatientID,Diagnosis,BreedID,Breed,Age,Sex,Neutered,WeightChange,Weight,Hospitalised,HeartRate,Temperature,Vomiting,Diarrhoea,Hepatomegaly,ThinDrySkin,Alopecia,Pruritus,MuscleWastageWeakness,Lethargy,Panting,Neurological,Polydipsia,Polyuria,IncreasedALKP,IncreasedATL/GGT/AST,LowUSG,Proteinuria,Hypertensive,LowBloodSugar,Hypothyroid,CruciateSurgery
129,1,14363,Lhasa Apso,12,M,True,Weight gain,7.8,False,120.0,38.6,False,False,True,True,True,False,True,False,True,False,False,False,True,,,,False,False,False,False
130,1,15076,Staffordshire Bull Terrier,11,M,False,Weight loss,,False,,,False,True,True,False,False,False,False,False,False,False,False,False,True,,,,False,False,False,False
131,1,15076,Staffordshire Bull Terrier,10,F,True,False,23.6,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
132,1,13768,French Bulldog,11,F,True,Weight gain,10.45,False,120.0,38.1,False,False,True,False,False,False,False,False,False,False,False,False,True,True,,,False,False,False,False
133,1,14962,Border Terrier,8,F,True,False,10.5,False,102.0,38.1,False,False,True,True,True,False,False,False,False,False,True,True,True,True,,,False,False,False,False
134,1,15086,West Highland White Terrier,12,F,False,False,8.86,False,,,False,False,False,False,False,False,False,False,False,False,True,True,True,,True,False,False,False,False,False
135,1,15083,Tibetan Terrier,11,M,False,False,15.3,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,False,False,False,False
136,1,15076,Staffordshire Bull Terrier,12,M,True,False,,False,140.0,38.4,False,False,True,True,True,False,False,False,False,False,True,True,,,,,False,False,False,False
137,1,13714,Bichon Frise,7,F,False,False,5.9,False,96.0,,False,False,True,True,True,False,True,False,False,False,True,True,,,,,False,False,False,False
138,1,14833,Shih Tzu,14,M,True,False,,False,,,False,False,True,False,False,False,True,False,True,False,True,True,,,,,False,False,False,False
139,1,99999,Crossbreed,11,F,True,False,,False,120.0,,True,False,True,True,True,False,False,True,False,False,True,True,,,,,False,False,False,False
140,1,99999,Crossbreed,11,M,True,Weight gain,,False,,39.1,False,False,True,False,False,False,False,False,True,False,True,True,,,,,False,False,False,False
141,1,13714,Bichon Frise,15,M,True,False,,False,140.0,38.4,False,False,False,False,True,False,True,False,False,False,False,False,True,True,,,False,False,False,False
142,1,99999,Crossbreed,15,M,True,Weight gain,10.8,False,,,False,False,False,True,False,False,True,True,False,True,False,False,,,,,False,False,False,False
143,1,14962,Border Terrier,11,F,False,False,10.2,False,100.0,,False,False,False,False,False,False,False,False,False,False,True,False,True,False,,,False,False,False,False
144,1,99999,Crossbreed,14,F,True,False,13.2,False,,,False,False,False,False,True,False,False,False,True,False,True,True,,,,,False,False,False,False
145,1,14636,Rottweiler,11,F,False,False,40.2,False,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,,,False,False,False,False
146,1,14363,Lhasa Apso,9,F,False,False,6.9,True,120.0,39.5,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False,False
147,1,14962,Border Terrier,7,F,True,False,11.9,False,,,False,False,True,True,True,True,False,False,False,False,True,False,,,,,False,False,False,False
148,1,14672,Schnauzer,11,M,True,Weight gain,,False,100.0,38.4,False,False,True,False,True,False,False,False,False,False,True,True,True,True,,,False,False,False,False
149,1,15009,Jack Russell Terrier,14,M,True,False,11.1,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
150,1,14363,Lhasa Apso,14,M,True,False,10.7,False,120.0,,False,False,True,True,True,False,False,False,False,True,True,True,True,True,,,False,False,False,False
151,1,99999,Crossbreed,9,M,True,False,13.3,False,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,,,False,False,False,False
152,1,14609,Golden Retriever,14,F,True,False,23.35,False,,39.2,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False
153,1,14962,Border Terrier,13,M,True,Weight loss,12.8,False,,,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False,False,False,False,False
154,1,13962,Dalmatian,12,F,True,False,29.8,False,,,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False
155,1,14963,Boston Terrier,9,M,False,Weight loss,7.8,False,120.0,,False,False,True,True,True,False,True,True,False,True,True,True,True,True,,,False,False,False,False
156,1,14040,Greyhound,10,M,False,False,29.1,False,90.0,38.6,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False
157,1,15076,Staffordshire Bull Terrier,9,F,False,False,20.1,False,,,False,True,True,False,False,False,False,False,False,False,True,False,,,True,True,False,False,False,False
158,1,99999,Crossbreed,7,F,False,False,,False,100.0,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
159,1,15087,Yorkshire Terrier,14,F,True,False,3.0,False,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,,False,False,False,False
160,1,17461,Maltese,6,F,False,False,,False,,,False,False,False,True,True,False,False,False,False,False,True,True,,,,,False,False,False,False
161,1,15009,Jack Russell Terrier,9,F,True,False,12.2,False,,,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False
162,1,13883,Collie,10,M,True,False,,True,120.0,38.4,True,False,True,True,False,False,True,True,False,False,True,True,,,True,True,False,False,False,False
163,1,14962,Border Terrier,10,F,False,False,8.9,False,160.0,38.5,False,False,True,False,False,False,False,True,True,True,True,False,True,,,,False,False,False,False
164,1,99999,Crossbreed,10,F,True,False,26.8,False,,39.0,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,,False,False,False,False
165,1,13714,Bichon Frise,10,M,True,Weight gain,,False,120.0,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
166,1,14884,Springer Spaniel,13,F,True,False,33.7,False,,,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,,False,False,False,False
167,1,13806,Canaan,13,M,True,False,,False,108.0,,False,False,False,False,False,False,False,False,True,False,True,False,,,True,False,False,False,False,False
168,1,13879,Collie,14,F,False,False,24.0,False,120.0,,False,False,False,True,True,False,True,True,False,False,True,True,,,,,False,False,False,False
169,1,15009,Jack Russell Terrier,9,M,False,No change,10.0,False,,,True,True,True,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False
170,1,15076,Staffordshire Bull Terrier,10,F,True,Weight gain,28.7,False,128.0,,False,False,True,False,True,True,True,False,False,False,True,True,,,,,False,False,False,False
171,1,13714,Bichon Frise,12,F,True,False,6.2,False,,,False,False,False,False,False,False,False,False,False,False,True,False,,,,,False,False,False,False
172,1,13724,Boxer,13,F,True,False,29.3,False,,,False,False,False,False,False,False,False,False,False,False,True,False,True,True,,,False,False,False,False
173,1,99999,Crossbreed,7,F,False,False,9.7,False,,,False,False,True,False,True,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False
174,1,14672,Schnauzer,11,F,True,False,11.04,False,,,False,False,False,False,False,False,False,False,False,True,False,False,True,,,,False,False,False,False
175,1,13962,Dalmatian,13,F,False,False,24.0,True,,,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True,,False,False,False,False
176,1,99999,Crossbreed,10,M,True,False,31.1,False,,,False,False,False,True,False,False,False,False,False,False,False,False,,,True,,False,False,False,False
177,1,13957,Dachshund,13,F,True,False,7.2,False,100.0,,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False
178,1,14846,Cocker Spaniel,9,F,True,Weight gain,21.2,False,108.0,,False,False,True,False,False,False,True,False,False,False,False,False,True,True,,,True,False,False,False
179,1,15009,Jack Russell Terrier,7,M,True,False,10.35,False,120.0,,False,False,True,True,False,False,True,False,False,False,True,True,False,True,True,False,False,False,False,False
180,1,13714,Bichon Frise,9,M,False,Weight loss,8.1,False,,,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False
181,1,14646,Saluki,13,F,True,False,26.0,False,,,False,False,False,True,False,False,False,False,False,False,True,True,True,True,,,False,False,False,False
182,1,99999,Crossbreed,11,M,True,False,,False,120.0,38.5,False,False,False,True,True,False,False,False,True,False,False,False,,,,,False,False,False,False
183,1,99999,Crossbreed,12,F,True,False,22.9,False,,,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False
