"PatientID","Diagnosis","Breed","Age","Sex","Neutered","WeightChange","Weight","Hospitalised","HeartRate","Temperature","Vomiting","Diarrhoea","Hepatomegaly","ThinDrySkin","Alopecia","Pruritus","MuscleWastageWeakness","Lethargy","Panting","Neurological","Polydipsia","Polyuria","IncreasedALKP","IncreasedATL/GGT/AST","LowUSG","Proteinuria","Hypertensive","LowBloodSugar","Hypothyroid","CruciateSurgery"
50,"1","Springer Spaniel",12,"F",True,"Weight loss",20.7,False,NULL,NULL,False,False,True,False,True,False,False,False,False,False,True,True,"True",NULL,"True",True,False,False,False,False
51,"1","Jack Russell Terrier",12,"F",True,"No change",4.6,False,NULL,NULL,False,False,False,False,False,False,False,False,False,False,False,False,"True",NULL,NULL,NULL,False,False,False,False
52,"1","Schnauzer",13,"F",False,"No change",13,False,NULL,NULL,False,False,True,False,True,False,False,False,True,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
53,"1","Shih Tzu",14,"F",True,"No change",5.72,False,NULL,NULL,False,False,True,True,True,False,False,True,False,False,False,False,"True","True",NULL,NULL,False,False,False,False
54,"1","Shih Tzu",11,"M",True,"No change",NULL,False,88,NULL,False,False,True,True,True,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
55,"1","West Highland White Terrier",11,"F",True,"No change",8.45,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,False,False,"True","False",NULL,NULL,False,False,False,False
56,"1","Bichon Frise",8,"F",True,"Weight gain",9.98,False,80,NULL,False,False,False,True,False,False,False,True,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
57,"1","Crossbreed",10,"F",False,"Weight loss",3.5,False,NULL,NULL,False,False,False,True,True,False,False,False,False,False,True,False,NULL,NULL,NULL,NULL,False,False,False,False
58,"1","Crossbreed",8,"M",False,"No change",23.5,False,NULL,NULL,False,False,True,False,False,False,False,False,False,False,True,True,"True","True",NULL,NULL,False,False,False,False
59,"1","Corgi",13,"F",True,"Weight loss",12.5,False,110,NULL,False,False,False,False,False,False,False,False,False,False,True,True,"True",NULL,NULL,NULL,False,False,False,False
60,"1","Crossbreed",11,"F",True,"Weight gain",10.05,False,100,NULL,False,False,False,True,True,False,False,False,False,False,False,True,"True","True","True",False,False,False,False,False
61,"1","Jack Russell Terrier",13,"F",False,"No change",8.3,False,NULL,NULL,False,False,False,True,True,False,False,False,False,False,False,False,NULL,NULL,NULL,NULL,False,False,False,False
62,"1","West Highland White Terrier",14,"F",True,"No change",10.7,False,112,38.2,False,True,True,False,True,False,False,True,True,False,True,True,NULL,NULL,"True",False,False,False,False,True
63,"1","Staffordshire Bull Terrier",10,"M",True,"No change",34,False,NULL,NULL,False,False,True,False,False,False,True,True,False,False,False,False,NULL,NULL,"False",True,False,False,False,False
64,"1","Border Terrier",13,"M",False,"No change",NULL,False,120,NULL,False,False,True,False,False,False,False,False,False,False,True,True,"True",NULL,"True",False,False,False,False,False
65,"1","Yorkshire Terrier",10,"M",False,"No change",6.3,False,120,NULL,False,False,True,True,True,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
66,"1","Jack Russell Terrier",13,"F",True,"No change",5.86,True,88,36.5,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,NULL,NULL,False,False,False,False
67,"1","Crossbreed",11,"M",False,"No change",10.7,True,NULL,NULL,False,False,False,False,False,False,False,False,False,False,True,True,NULL,NULL,"True",True,False,False,False,False
68,"1","Staffordshire Bull Terrier",8,"M",True,"No change",29.4,False,92,39.7,False,False,True,False,False,False,False,False,True,False,False,False,"True","True",NULL,NULL,False,False,False,False
